variant,link_auc,conf_mae,conf_nll,stance_nll,stance_kl
1-ECC-2-SAGE,0.895,0.351,0.713,1.01,1.002
1-SAGE-2-ECC,0.815,0.335,0.734,0.6,0.592
2-SAGE-1-ECC,0.886,0.342,0.71,0.593,0.585
3-ECC,0.849,0.335,0.725,0.612,0.604
